Артикул,Наименование,Производитель,Свободно,В резерве,Ожидается,Тип
,T.01.03.08,Пластина для долбяка B41.00.0601.020.VP3001,AKKO,0,1,0,Пластина для долбяка
,5519672,Пластина SNMG 190616 RT    TT8125,TaeguTec,0,8,0,Пластина
,49.DHP3336-1.5,Фреза DHP3336-1.5,Applitec,0,60,0,Фреза монолитная
,49.1103-8/3-1.0 Z48,Фреза 1103-8/3-1.0 Z48,Applitec,0,42,0,Дисковая фреза
,49.1102-40/10-1.0 Z32,Фреза 1102-40/10-1.0 Z32,Applitec,0,50,0,Дисковая фреза
,830001001,Сверло 1x12x34 DIN338 HSS-E ц/х,Товары,0,10,0,Сверло спиральное
,C88630,Прижим C88630CTM,Товары,0,12,0,Запчасть
,DIN7991_M8х25,Винт DIN7991 к.п.10.9 (потай, вн.6гр.)   M8х25,Товары,0,24,0,Запчасть
,DRK_00008138,Пластина TPGH080202LDP5015,Derek,0,180,0,Пластина
,DCK1-1-30_DRK,DCK1-1-30,Derek,0,1,0,Хвостовик инструмента
,DRK_00000137,Расточная система DCK1-CBH20-36-TP-V,Derek,0,1,0,Расточная головка
,DRK_00000119,Резцовая вставка CBH1-1-V,Derek,0,2,0,Комплектующие для расточных систем
,DRK_00000120,Резцовая вставка CBH1-2-V,Derek,0,2,0,Комплектующие для расточных систем
,DRK_00000121,Резцовая вставка CBH1-3-V,Derek,0,2,0,Комплектующие для расточных систем
,DRK_00001067,DCK3-3-30,Derek,0,6,0,Хвостовик инструмента
,DRK_00000125,Резцовая вставка CBH3-1-V,Derek,0,4,0,Комплектующие для расточных систем
,DRK_00000126,Резцовая вставка CBH3-2-V,Derek,0,4,0,Комплектующие для расточных систем
,DRK_00000127,Резцовая вставка CBH3-3-V,Derek,0,4,0,Комплектующие для расточных систем
,DRK_00001071,DCK5-5-90,Derek,0,1,0,Хвостовик инструмента
,DRK_00001070,DCK5-5-60,Derek,0,3,0,Хвостовик инструмента
,DRK_00000371,Расточная система DCK5-DBH5270-C,Derek,0,2,0,Расточная головка
,DRK_00011741,Пластина CCMT120408-HMQP5125,Derek,0,210,0,Пластина
,DRK_00013650,Пластина CCMT060204-HMQP5125,Derek,0,120,0,Пластина
,DRK_00001090,Адаптер DCK6-3-56,Derek,0,1,0,Комплектующие для расточных систем
,DRK_00000452,Расточная система BT50-BSB25-135,Derek,0,1,0,Расточная головка
,1C009D010,Фреза концевая 1C009D010,ARCONIT,0,5,0,Фреза монолитная
,DRK_00013306,Пластина CNMG190612-RGQC1125,Derek,0,8,0,Пластина
,CMD-0200-30-JD03,Сверло спиральное CMD-0200-30-JD03,ASKUP,0,3,0,Сверло спиральное
,6236513,Пластина CCMT 060208 PC   TT8125B,TaeguTec,0,40,0,Пластина
,DRK_00001072,Адаптер DCK6-6-60,Derek,0,3,0,Комплектующие для расточных систем
